original_page,physical_pdf_page,content_type,short_observation,canonical_public_url,public_text_status,public_scan_status,public_photo_status,public_document_status,related_people,related_events,related_places,relation_status,ru_status,en_status,privacy_status,duplicate_of,alternate_scan_of,final_status,remaining_issue
017,017,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
018,018,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
019,019,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
020,020,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
021,021,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
022,022,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
023,023,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
024,024,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/02-otec-brak-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
025,025,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
026,026,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
027,027,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
028,028,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
029,029,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
030,030,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
031,031,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
032,032,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
033,033,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
034,034,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
035,035,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
036,036,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
037,037,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
038,038,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
039,039,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/03-detstvo-moskva/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
040,040,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
041,041,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
042,042,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
043,043,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
044,044,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
045,045,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
046,046,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/04-voyna-1941/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
047,047,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
048,048,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
049,049,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
050,050,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
051,051,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
052,052,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
053,053,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
054,054,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
055,055,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/05-otec-vchk-i-stikhi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
056,056,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
057,057,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
058,058,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
059,059,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
060,060,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
061,061,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
062,062,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/06-dokumenty-sezdy/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
063,063,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/07-dacha-yubilei/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
064,064,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/07-dacha-yubilei/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
065,065,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/07-dacha-yubilei/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
066,066,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/07-dacha-yubilei/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
067,067,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/08-otec-harakter/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
068,,duplicate_omitted,Inverted duplicate of 067; absent from cleaned PDF,,n/a,omitted,n/a,n/a,,,,n/a,n/a,n/a,n/a,067,,duplicate,
069,068,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/08-otec-harakter/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
070,069,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/08-otec-harakter/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
071,070,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/08-otec-harakter/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
072,071,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
073,072,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
074,073,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
075,074,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
076,075,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
077,076,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
078,077,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
079,078,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/09-dokumenty-v-tetradi/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
080,079,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
081,080,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
082,081,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
083,082,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
084,083,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
085,084,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
086,085,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
087,086,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
088,087,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
089,088,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/10-prodolzhenie-080-089/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
090,089,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
091,090,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
092,091,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
093,092,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
094,093,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
095,094,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
096,095,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
097,096,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
098,097,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
099,098,withheld,UA medal 1999 T.T. Samsonov (not T.P.),,withheld,static_removed,withheld,withheld,,,,private,withheld,withheld,internal_private,,,complete_internal_privacy,family decision for public release
100,099,withheld,UA medal 1999 T.T. Samsonov (not T.P.),,withheld,static_removed,withheld,withheld,,,,private,withheld,withheld,internal_private,,,complete_internal_privacy,family decision for public release
101,100,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
102,101,alternate_scan,Alternate frame of exam photo same as 101,/vospominaniya/dnevnik/12-brat-front-103-108/,via_101,exists_not_separate_public,not_separate,n/a,,,,ok,noted,noted,public_safe,,101,alternate_scan,
103,102,letter_or_document,Signed Dmitry; surname unknown,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
104,103,letter_or_document,Signed Dmitry; surname unknown,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
105,104,letter_or_document,Timosha form; T.T. Samsonov,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
106,105,letter_or_document,Timosha form; T.T. Samsonov,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
107,106,letter_or_document,Timosha form; T.T. Samsonov,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
108,107,letter_or_document,Stalingrad medal — T. Timofeevich not T. Petrovich,/vospominaniya/dnevnik/12-brat-front-103-108/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
109,108,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
110,109,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
111,110,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
112,111,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
113,112,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
114,113,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
115,114,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
116,115,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
117,116,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/13-tanya-detstvo-i-shkola/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
118,117,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
119,118,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
120,119,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
121,120,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
122,121,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
123,122,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
124,123,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
125,124,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
126,125,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
127,126,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/14-shkola-i-voyna/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
128,127,letter_or_document,Misha Friolenko; not brother Tyoma,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
129,128,letter_or_document,Misha Friolenko; not brother Tyoma,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
130,129,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
131,130,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
132,131,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
133,132,letter_or_document,Standalone document + chapter context,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader_published,in_chapter_or_doc,embedded_if_exists,standalone,,,,ok,published,published,public_safe,,,complete_public,
134,133,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
135,134,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
136,135,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
137,136,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
