original_page,pdf_page,kind,b02_stream,observed_content,required_public_action,privacy_note,confidence,site_result_status,fulfillment,public_form_now,primary_ru_url,notes
092,91,album_page/photos,2,"Фотографии Жени и Тёмы, юношеский портрет и семейная группа ноября 1925 года с подписями.",Опубликовать отдельные аккуратные crops и семейную фотокарточку с авторскими подписями.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,image crop(s) in photo album with captions; context crop may still be missing
093,92,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
094,93,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
095,94,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
096,95,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
097,96,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
098,97,manuscript/biography,2,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/11-prodolzhenie-090-099/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
099,98,document/award,0,Удостоверение к украинской медали «Захиснику Вітчизни» 1999 года на имя Самсонова Тимофея Тимофеевича.,Хранить во внутреннем реестре  не приписывать Самсонову Т. П.  публичное решение — только в отдельном контексте дяди Тёмы и по воле семьи.  high,public only after explicit family decision,document,internal_privacy,done_as_internal,internal_privacy,,UA medal withheld from public pages; not attributed to T.P.
100,99,document/award,0,Удостоверение к украинской медали «Захиснику Вітчизни» 1999 года на имя Самсонова Тимофея Тимофеевича.,Хранить во внутреннем реестре  не приписывать Самсонову Т. П.  публичное решение — только в отдельном контексте дяди Тёмы и по воле семьи.  high,public only after explicit family decision,document,internal_privacy,done_as_internal,internal_privacy,,UA medal withheld from public pages; not attributed to T.P.
101,100,photo/alternate_scans,3,Один и тот же снимок «Экзамен по гражданской обороне» в двух вариантах/кадрированиях.,"Считать одним физическим снимком, выбрать лучший источник, не публиковать два дубля.",historical/public after verification,high,published_text,partial,published_photo+text,/vospominaniya/dnevnik/12-brat-front-103-108/,one best scan public; crop in gallery or full page
102,101,photo/alternate_scans,3,Один и тот же снимок «Экзамен по гражданской обороне» в двух вариантах/кадрированиях.,"Считать одним физическим снимком, выбрать лучший источник, не публиковать два дубля.",historical/public after verification,high,alternate_scan,done,alternate_scan,/vospominaniya/dnevnik/12-brat-front-103-108/,alternate of 101; not dual-published
103,102,front_letter,4,Фронтовое письмо от 11.08.1943 к родителям и сестре Тане.,"Обязательная отдельная публикация: полный скан, дипломатическая расшифровка, читательская версия, дата, адресат и подпись без догадок.",historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-103-1943/,letter page: scan + reading + diplomatic; face/reverse where applicable
104,103,front_letter,4,"Фронтовое/военное письмо к родителям, датированное 1941 годом; лист повреждён и частично выцвел.",Обязательная отдельная публикация с сохранением повреждений и пометкой неразборчивых мест.,historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-104/,letter page: scan + reading + diplomatic; face/reverse where applicable
105,104,front_letter_front_back,4,Письмо «Дорогая мамочка!» 1943 года и оборот/адрес с полевой почтой на московский адрес семьи.,"Объединить как один документ: лицевая сторона + оборот, адрес и штемпели; скрыть чувствительные данные только если это требуется.",historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-105-106-mamochke/,letter page: scan + reading + diplomatic; face/reverse where applicable
106,105,front_letter_front_back,4,Письмо «Дорогая мамочка!» 1943 года и оборот/адрес с полевой почтой на московский адрес семьи.,"Объединить как один документ: лицевая сторона + оборот, адрес и штемпели; скрыть чувствительные данные только если это требуется.",historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-105-106-mamochke/,letter page: scan + reading + diplomatic; face/reverse where applicable
107,106,front_letter,4,Письмо от 19.03.1944 к родителям и сестре Тане из действующей армии.,Обязательная отдельная публикация с полным сканом и расшифровкой.,historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-107/,letter page: scan + reading + diplomatic; face/reverse where applicable
108,107,document/award,3,"Удостоверение «За оборону Сталинграда» на Самсонова Тимофея Тимофеевича, вручено в 1945 году.",Создать документальную страницу дяди Тёмы  не относить к Тимофею Петровичу.,historical/public after verification,high,published_document,done_core,published_document,/dokumenty/udostoverenie-oborona-stalingrada-samsonov-tt/,Stalingrad certificate standalone; T.T. not T.P.
109,108,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
110,109,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
111,110,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
112,111,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
113,112,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
114,113,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
115,114,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
116,115,manuscript/autobiography,5,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
117,116,album_page/class_photo,5,Большая школьная групповая фотография с перечнем фамилий/имён.,Опубликовать в главе о школе  сделать полный crop и context с подписями  не распознавать лица самостоятельно.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,image crop(s) in photo album with captions; context crop may still be missing
118,117,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
119,118,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/13-shkola-druzya-109-119/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
120,119,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
121,120,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
122,121,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
123,122,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
124,123,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
125,124,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
126,125,manuscript/autobiography_war,6,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
127,126,editorial_note,6,"Авторская пояснительная запись: далее идёт письмо с фронта от товарища Тёмы; упомянута битва под Сталинградом и 9-й класс, 1943 год.","Использовать как вступление к коллекции фронтовых писем, а не как отдельную пустую страницу.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/14-voyna-evakuaciya-120-127/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
128,127,front_letter_front_back,7,"Двухстраничное фронтовое письмо к Тане от товарища Тёмы, датированное 20 апреля 1943 года; в тексте — переписка, надежда на встречу и полевая почта.","Обязательная отдельная публикация, обе страницы вместе, автор/подпись читаются осторожно.",historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-128-129-tane-ot-tovarishcha/,letter page: scan + reading + diplomatic; face/reverse where applicable
129,128,front_letter_front_back,7,"Двухстраничное фронтовое письмо к Тане от товарища Тёмы, датированное 20 апреля 1943 года; в тексте — переписка, надежда на встречу и полевая почта.","Обязательная отдельная публикация, обе страницы вместе, автор/подпись читаются осторожно.",historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-128-129-tane-ot-tovarishcha/,letter page: scan + reading + diplomatic; face/reverse where applicable
130,129,postcard,7,Рисованная новогодняя почтовая карточка с адресом/поздравлением.,Опубликовать как отдельную открытку только после установления адресата и связи с семьёй.,historical/public after verification,medium,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/15-pisma-voennye-128-133/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
131,130,personal_wartime_letter,7,"Короткое письмо «Танюша!» с пожеланиями здоровья и просьбой писать; дата 1 марта, подпись требует сверки.",Добавить в коллекцию переписки после проверки автора и года.,historical/public after verification,medium,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-131-tanyusha/,letter page: scan + reading + diplomatic; face/reverse where applicable
132,131,hospital_letter,7,"Подписано как «Письмо от Геннадия из госпиталя», дата 18.11.1943.",Обязательная отдельная публикация в коллекции фронтовой переписки.,historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-132-gennadiy-18-11-1943/,letter page: scan + reading + diplomatic; face/reverse where applicable
133,132,front_letter,7,"Второе письмо Геннадия к Тане, дата 29.11.1943; военный контекст.",Опубликовать рядом с письмом из госпиталя как связанный документ.,historical/public after verification,high,published_document,done_core,published_document,/dokumenty/pisma-s-fronta/pismo-133-gennadiy-29-11-1943/,letter page: scan + reading + diplomatic; face/reverse where applicable
134,133,manuscript/context_note,8,Авторская семейная заметка о знакомом/корреспонденте и обстоятельствах переписки.,Сверить имена и использовать как контекст к письмам  не публиковать неподтверждённые чтения.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
135,134,manuscript/youth_and_acquaintances,8,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
136,135,manuscript/youth_and_acquaintances,8,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
137,136,manuscript/youth_and_acquaintances,8,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
138,137,manuscript/youth_and_acquaintances,8,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
139,138,manuscript/youth_and_acquaintances,8,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/16-druzya-pobeda-134-139/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
140,139,manuscript/courtship_travel,9,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
141,140,manuscript/courtship_travel,9,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
142,141,manuscript/courtship_travel,9,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
143,142,manuscript/courtship_travel,9,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
144,143,manuscript/marriage_child,9,"Семейная жизнь, учёба и рождение сына Мити 28 мая 1948 года.",Включить в главу о семье  точную дату живого человека не публиковать без семейного разрешения.,living-person review required,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
145,144,manuscript/work_and_reunion,10,"Работа, преподавание, школа/институт, воспоминания о коллегах; большая групповая фотография и встречи выпускников.",Создать главу о работе и учёбе  фото — отдельный crop с подписью.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
146,145,manuscript/work_and_reunion,10,"Работа, преподавание, школа/институт, воспоминания о коллегах; большая групповая фотография и встречи выпускников.",Создать главу о работе и учёбе  фото — отдельный crop с подписью.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/17-krym-semya-140-149/,image-only crop(s) in photo album; context crop optional
147,146,album_page/photos,10,"Детские портреты Тани и Жени, снимок двух детей и спортивная фотография 1945 года.",Вырезать все физические снимки отдельно и включить в фотоисторию Татьяны.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/17-krym-semya-140-149/,image crop(s) in photo album with captions; context crop may still be missing
148,147,album_page/group_photo,10,Большая групповая фотография 1949 года с подписанными участниками.,Опубликовать полный снимок и контекст подписей  имена брать только из рукописи.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/17-krym-semya-140-149/,image-only crop(s) in photo album; context crop optional
149,148,manuscript/family_and_work,11,"Продолжение семейной истории, учёбы, работы и повседневной жизни.","Собрать в связную главу, проверить переходы с фотографиями.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/17-krym-semya-140-149/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
150,149,manuscript/family_and_work,11,"Продолжение семейной истории, учёбы, работы и повседневной жизни.","Собрать в связную главу, проверить переходы с фотографиями.",historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
151,150,album_page/travel_photos,11,"Фотографии отдыха/поездок: сено, семейные кадры и Чёрное море, подписи 1950-х годов.",Создать фотоподборку поездок с точными авторскими подписями.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/18-synovya-150-161/,image crop(s) in photo album with captions; context crop may still be missing
152,151,manuscript/family_children,11,"Семейный быт, дети, поездки, здоровье и работа.",Собрать в главу о семье  провести privacy review.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
153,152,manuscript/family_children,11,"Семейный быт, дети, поездки, здоровье и работа.",Собрать в главу о семье  провести privacy review.,historical/public after verification,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
154,153,album_page+biography,11,"Фотографии Мити в разные годы (1949, 1957, 1969 и др.) и краткий рассказ об учёбе/работе.",Создать семейную фотохронологию только после проверки приватности и разрешения.,historical/public after verification,high,published_text,partial_to_done,published_photo,/vospominaniya/dnevnik/18-synovya-150-161/,image crop(s) in photo album with captions; context crop may still be missing
155,154,manuscript/sergey,11,"Раздел «Серёжа»: рождение 16 сентября 1957 года, детство, семья и события последующих лет.",Отдельная семейная глава  не публиковать полный день/месяц рождения живого человека без разрешения.,living-person review required,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
156,155,manuscript/sergey,11,"Раздел «Серёжа»: рождение 16 сентября 1957 года, детство, семья и события последующих лет.",Отдельная семейная глава  не публиковать полный день/месяц рождения живого человека без разрешения.,living-person review required,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
157,156,album_page/photos,11,Портреты молодых людей и большая фотография женщины с ребёнком,"подписи указывают имена/родственные связи.  Вырезать снимки, но публиковать только после проверки личности и согласия живых людей.",living-person review required,high,published_text,partial,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,full-page notebook JPG in album only — NOT full photo publication criterion
158,157,manuscript/family_later_years,11,"Продолжение рассказа о детях, семье, поездках, работе и поздних событиях.",Сделать связную главу о семье и поздних годах  персональные данные — после privacy review.,living-person review required,high,published_text,partial_first_pass,published_text,/vospominaniya/dnevnik/18-synovya-150-161/,reader-facing chapter exists but bulk first_pass dump; needs literary continuity
